product_name,category,quantity,unit_cost,last_updated
Wireless Headphones,Electronics,45,65.00,2024-11-30
Coffee Maker,Appliances,12,95.00,2024-11-30
Running Shoes,Sports,8,55.00,2024-11-30
Laptop Stand,Electronics,25,30.00,2024-11-30
Yoga Mat,Sports,35,18.00,2024-11-30
Bluetooth Speaker,Electronics,18,50.00,2024-11-30
Blender,Appliances,6,125.00,2024-11-30
Protein Powder,Health,42,25.00,2024-11-30
Gaming Mouse,Electronics,22,45.00,2024-11-30
Water Bottle,Sports,67,12.00,2024-11-30
Air Fryer,Appliances,3,85.00,2024-11-30
Monitor,Electronics,15,180.00,2024-11-30
Resistance Bands,Sports,28,15.00,2024-11-30
Vitamins,Health,55,20.00,2024-11-30
Smartphone,Electronics,7,450.00,2024-11-30
Toaster,Appliances,11,55.00,2024-11-30
Dumbbells,Sports,14,95.00,2024-11-30
Tea Set,Home,19,35.00,2024-11-30
Tablet,Electronics,9,250.00,2024-11-30
Pressure Cooker,Appliances,5,115.00,2024-11-30
Fitness Tracker,Electronics,16,125.00,2024-11-30
Supplements,Health,33,30.00,2024-11-30
Kitchen Scale,Appliances,21,25.00,2024-11-30
Keyboard,Electronics,18,75.00,2024-11-30
Baseball Cap,Sports,45,12.00,2024-11-30
Candles,Home,82,8.00,2024-11-30
Microwave,Appliances,4,125.00,2024-11-30
Smartwatch,Electronics,12,165.00,2024-11-30
Tennis Racket,Sports,7,105.00,2024-11-30
Aromatherapy Diffuser,Home,24,45.00,2024-11-30
Wireless Charger,Electronics,31,18.00,2024-11-30
Protein Bars,Health,95,15.00,2024-11-30
Vacuum Cleaner,Appliances,2,195.00,2024-11-30
Desk Lamp,Home,26,30.00,2024-11-30
Power Bank,Electronics,38,25.00,2024-11-30
Jump Rope,Sports,44,9.00,2024-11-30
Essential Oils,Health,51,18.00,2024-11-30
Rice Cooker,Appliances,8,75.00,2024-11-30
Webcam,Electronics,13,55.00,2024-11-30
Yoga Block,Sports,39,12.00,2024-11-30
Throw Pillows,Home,58,15.00,2024-11-30
Electric Kettle,Appliances,17,45.00,2024-11-30
Wireless Earbuds,Electronics,23,85.00,2024-11-30
Exercise Ball,Sports,16,22.00,2024-11-30
Multivitamins,Health,41,28.00,2024-11-30
Food Processor,Appliances,1,165.00,2024-11-30
Gaming Headset,Electronics,14,115.00,2024-11-30
Foam Roller,Sports,27,25.00,2024-11-30
Hand Cream,Health,73,12.00,2024-11-30
Stand Mixer,Appliances,3,285.00,2024-11-30
USB Hub,Electronics,29,18.00,2024-11-30
Wall Art,Home,34,30.00,2024-11-30
Slow Cooker,Appliances,6,105.00,2024-11-30
Fitness Mat,Sports,32,18.00,2024-11-30
Face Mask,Health,89,9.00,2024-11-30
Air Purifier,Home,4,135.00,2024-11-30
Mechanical Keyboard,Electronics,11,95.00,2024-11-30
Kettlebell,Sports,9,55.00,2024-11-30
Sleep Mask,Health,47,15.00,2024-11-30
Espresso Machine,Appliances,1,385.00,2024-11-30